ID,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build,,,
203,Toyota,2009,Foreign Used,137397,2400,Petrol,Automatic,3952000.00,Not SUV,,,
204,Acura,2011,Nigerian Used,178050,3700,Petrol,Automatic,5200000.00,SUV,,,
205,Toyota,2015,Foreign Used,218139,2700,Petrol,Automatic,8925000.00,SUV,,,
206,Mercedes-Benz,2008,Foreign Used,175183,3000,Petrol,Automatic,4680000.00,Not SUV,,,
207,Toyota,2010,Foreign Used,158684,2500,Petrol,Automatic,3780000.00,Not SUV,,,
208,Mercedes-Benz,2014,Foreign Used,83189,2000,Petrol,Automatic,11232000.00,Not SUV,,,
209,Land Rover,2006,Nigerian Used,113872,4400,Petrol,Automatic,3120000.00,Not SUV,,,
210,Mercedes-Benz,2007,Nigerian Used,110228,4500,Petrol,Automatic,5200000.00,SUV,,,
211,Toyota,2011,Foreign Used,257742,3500,Petrol,Automatic,4935000.00,Not SUV,,,
212,Toyota,2014,Foreign Used,86077,3500,Petrol,Automatic,14700000.00,SUV,,,
213,Toyota,2012,Nigerian Used,76334,3500,Petrol,Automatic,5565000.00,SUV,,,
214,Lexus,2014,Foreign Used,139592,4600,Petrol,Automatic,23920000.00,SUV,,,
215,Mercedes-Benz,2011,Nigerian Used,193201,3500,Petrol,Automatic,5616000.00,Not SUV,,,
216,Toyota,2007,Nigerian Used,104336,2400,Petrol,Automatic,3328000.00,SUV,,,
217,Mercedes-Benz,2006,Foreign Used,239529,5000,Petrol,Automatic,4515000.00,SUV,,,
218,Land Rover,2006,Foreign Used,118872,3500,Petrol,Automatic,3150000.00,SUV,,,
219,Toyota,2014,Foreign Used,89208,2500,Petrol,Automatic,5250000.00,Not SUV,,,
220,Lexus,2008,Nigerian Used,186699,3500,Petrol,Automatic,3640000.00,Not SUV,,,
221,Lexus,2007,Nigerian Used,156579,3500,Petrol,Automatic,5200000.00,SUV,,,
222,Lexus,2014,Nigerian Used,69129,4600,Petrol,Automatic,18375000.00,SUV,,,
223,Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,6825000.00,SUV,,,
224,Toyota,2010,Nigerian Used,106427,3500,Petrol,Automatic,6968000.00,SUV,,,
225,Toyota,2016,Foreign Used,55055,2500,Petrol,Automatic,6720000.00,Not SUV,,,
226,Toyota,2007,Foreign Used,401813,2400,Petrol,Automatic,3885000.00,Not SUV,,,
227,Lexus,2008,Foreign Used,323768,3500,Petrol,Automatic,3832500.00,Not SUV,,,
228,Lincoln,2019,Nigerian Used,35976,2000,Petrol,Automatic,17850000.00,SUV,,,
229,Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,15600000.00,Not SUV,,,
230,Toyota,2015,Foreign Used,40962,2500,Petrol,Automatic,10400000.00,Not SUV,,,
231,Toyota,2011,Foreign Used,142689,2400,Petrol,Automatic,4680000.00,Not SUV,,,
232,Mercedes-Benz,2012,Nigerian Used,99661,3500,Petrol,Automatic,7280000.00,Not SUV,,,
233,Land Rover,2011,Nigerian Used,7842,4000,Petrol,Automatic,6825000.00,SUV,,,
234,Mercedes-Benz,2010,Foreign Used,242841,3500,Petrol,Automatic,6615000.00,SUV,,,
235,Lexus,2012,Foreign Used,135295,3500,Petrol,Automatic,7072000.00,Not SUV,,,
236,Mercedes-Benz,2013,Nigerian Used,90604,4700,Petrol,Automatic,15600000.00,SUV,,,
237,Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,3328000.00,SUV,,,
238,Lexus,2007,Nigerian Used,177336,3500,Petrol,Automatic,3650000.00,SUV,,,
239,Toyota,2010,Foreign Used,159981,3500,Petrol,Automatic,7560000.00,SUV,,,
240,Land Rover,2010,Nigerian Used,140366,50000,Petrol,Automatic,4200000.00,SUV,,,
241,Lexus,2012,Foreign Used,134949,3500,Petrol,Automatic,10192000.00,SUV,,,
242,Toyota,2008,Foreign Used,197403,3500,Petrol,Automatic,4200000.00,Not SUV,,,
243,Lexus,2007,Foreign Used,258585,35000,Petrol,Automatic,4160000.00,Not SUV,,,
244,Toyota,2005,Foreign Used,260730,4700,Petrol,Automatic,4992000.00,SUV,,,
245,Lexus,2009,Foreign Used,246462,3500,Petrol,Automatic,5200000.00,Not SUV,,,
246,Mercedes-Benz,2014,Nigerian Used,51111,2000,Petrol,Automatic,8320000.00,Not SUV,,,
247,Mercedes-Benz,2017,Nigerian Used,33853,3000,Petrol,Automatic,33280000.00,SUV,,,
248,Toyota,2015,Foreign Used,150157,2700,Petrol,Automatic,10400000.00,SUV,,,
249,Lexus,2007,Foreign Used,175836,3500,Petrol,Automatic,4680000.00,Not SUV,,,
250,Toyota,2010,Foreign Used,214972,2500,Petrol,Automatic,3675000.00,Not SUV,,,
251,Mercedes-Benz,2012,Foreign Used,165585,3500,Petrol,Automatic,13520000.00,SUV,,,
252,Land Rover,2006,Nigerian Used,137818,4000,Petrol,Automatic,3328000.00,SUV,,,
253,Toyota,2017,Nigerian Used,101979,3500,Petrol,Automatic,15600000.00,Not SUV,,,
254,Lexus,2001,Foreign Used,199731,3000,Petrol,Automatic,3150000.00,SUV,,,
255,Lexus,2007,Foreign Used,110621,2500,Petrol,Automatic,4095000.00,Not SUV,,,
256,GMC,2008,Nigerian Used,167643,3600,Petrol,Automatic,3360000.00,SUV,,,
