Species,Month,Day,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12
Paltothrens tarsatus,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,March,Day 3,0,1,1,1,0,0,2,1,2,1,2,2
Camponotus maculatus,March,Day 3,0,0,0,1,0,0,0,1,0,0,1,0
Monomorium species,March,Day 3,3,1,11,0,2,0,2,0,0,1,1,2
Morphospecies E,March,Day 3,3,1,1,4,5,5,34,0,0,17,4,1
Paratrechina species cf. albibes,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,March,Day 3,0,0,1,0,0,0,0,0,1,0,0,0
Lepisiota capensis,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,March,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,April,Day 1,0,1,1,0,0,0,3,0,0,1,0,0
Camponotus maculatus,April,Day 1,0,0,0,0,0,0,0,0,0,1,0,0
Monomorium species,April,Day 1,2,4,29,3,4,1,1,0,1,4,1,0
Morphospecies E,April,Day 1,22,1,6,2,0,5,2,0,3,6,0,4
Paratrechina species cf. albibes,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,April,Day 1,1,0,0,0,0,0,1,2,0,0,0,0
Lepisiota capensis,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,April,Day 1,0,0,0,0,1,0,0,0,0,0,0,0
Morphospecies N,April,Day 1,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,April,Day 2,0,0,0,0,0,0,0,0,0,0,1,0
Camponotus vividus,April,Day 2,0,0,0,0,0,0,1,0,0,0,2,0
Camponotus maculatus,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Monomorium species,April,Day 2,3,3,32,0,0,0,1,1,1,1,0,0
Morphospecies E,April,Day 2,7,6,1,1,0,2,4,0,4,6,7,13
Paratrechina species cf. albibes,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,April,Day 2,0,0,0,0,0,1,0,0,0,0,0,0
Lepisiota capensis,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies M,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,April,Day 2,0,0,0,0,0,0,0,0,0,0,0,0
Paltothrens tarsatus,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Camponotus vividus,April,Day 3,0,0,0,0,1,0,2,0,0,0,0,0
Camponotus maculatus,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Monomorium species,April,Day 3,5,9,19,2,1,3,1,11,1,9,0,1
Morphospecies E,April,Day 3,11,6,6,1,0,0,1,2,11,5,0,9
Paratrechina species cf. albibes,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Odontomachus troglodytes,April,Day 3,0,0,0,0,0,0,0,1,0,0,0,0
Lepisiota capensis,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole species,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
pheidole welgelegenensis,April,Day 3,0,0,0,1,0,0,0,0,0,0,0,0
Morphospecies M,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
Morphospecies N,April,Day 3,0,0,0,0,0,0,0,0,0,0,0,0
