"","ID","Make","Year","Condition","Mileage","Engine.Size","Fuel","Transmission","Price","Build","Selling.Rate"
"2588",3264,"Volkswagen",2006,3,241123,2500,"Petrol","Automatic",1260000,"Not SUV",105.854727600412
"2589",3265,"Honda",2000,3,413686,2000,"Petrol","Automatic",1144000,"Not SUV",53.2519
"2590",3266,"Hyundai",2013,3,71661,1600,"Petrol","Manual",1680000,"Not SUV",120.782567204696
"2591",3269,"Kia",2014,3,86527,1600,"Petrol","Automatic",3150000,"Not SUV",122.119956480118
"2592",3270,"Toyota",2005,2,299999,1800,"Petrol","Automatic",2730000,"Not SUV",107.90179476082
"2593",3271,"Toyota",2009,3,179779,1800,"Petrol","Manual",1575000,"Not SUV",129.358208061889
"2594",3272,"Toyota",2006,2,273023,2000,"Petrol","Automatic",1942500,"Not SUV",105.854727600412
"2595",3274,"Honda",2003,3,305644,3500,"Petrol","Automatic",1456000,"SUV",120.808438283379
"2596",3275,"Pontiac",2003,3,110946,1800,"Petrol","Automatic",2600000,"Not SUV",120.808438283379
"2597",3276,"Peugeot",2004,2,176687,2400,"Petrol","Automatic",1785000,"Not SUV",112.832138933951
"2598",3277,"Toyota",2004,3,180712,2400,"Petrol","Automatic",1365000,"Not SUV",112.832138933951
"2599",3278,"Volkswagen",2009,3,71019,1600,"Petrol","Automatic",1260000,"Not SUV",129.358208061889
"2600",3279,"Toyota",2001,3,219863,3000,"Petrol","Automatic",1155000,"Not SUV",98.7896146341463
"2601",3280,"Honda",2006,3,248222,2400,"Petrol","Automatic",1664000,"Not SUV",105.854727600412
"2602",3281,"Pontiac",2003,3,273251,1800,"Petrol","Automatic",2392000,"Not SUV",120.808438283379
"2603",3283,"Toyota",2010,3,319436,1800,"Petrol","Automatic",1890000,"Not SUV",130.380254951299
"2604",3284,"Toyota",2004,3,482800,1800,"Petrol","Automatic",1785000,"Not SUV",112.832138933951
"2605",3285,"Ford",2001,3,158093,1400,"Petrol","Manual",1050000,"Not SUV",98.7896146341463
"2606",3286,"Honda",2006,3,248222,2400,"Petrol","Automatic",1664000,"Not SUV",105.854727600412
"2607",3288,"Toyota",2004,3,482800,1800,"Petrol","Automatic",1785000,"Not SUV",112.832138933951
"2608",3290,"Honda",2008,3,290798,2400,"Petrol","Automatic",1470000,"Not SUV",106.946299748744
"2609",3291,"Ford",2002,3,279391,2000,"Petrol","Automatic",1050000,"Not SUV",103.641601889339
"2610",3292,"Honda",2003,3,305644,3500,"Petrol","Automatic",1456000,"SUV",120.808438283379
"2611",3293,"Audi",2011,3,50930,2000,"Petrol","Manual",3360000,"Not SUV",141.992968264463
"2612",3294,"Toyota",2004,2,109587,2400,"Petrol","Automatic",2320000,"Not SUV",112.832138933951
"2613",3295,"Toyota",2005,2,299999,1800,"Petrol","Automatic",2730000,"Not SUV",107.90179476082
"2614",3296,"Nissan",2015,3,88572,2400,"Petrol","Automatic",1470000,"Not SUV",137.412810413589
"2615",3297,"Honda",2008,3,318649,3500,"Petrol","Automatic",1155000,"Not SUV",106.946299748744
"2616",3298,"Honda",2005,3,200956,2400,"Petrol","Automatic",1352000,"Not SUV",107.90179476082
"2617",3299,"Honda",2000,3,413686,2000,"Petrol","Automatic",1144000,"Not SUV",53.2519
"2618",3300,"Opel",2001,2,117508,1600,"Petrol","Manual",1942500,"Not SUV",98.7896146341463
"2619",3301,"Nissan",2003,3,184375,1500,"Petrol","Manual",1260000,"Not SUV",120.808438283379
"2620",3302,"Toyota",2004,3,280892,3000,"Petrol","Automatic",1050000,"Not SUV",112.832138933951
"2621",3303,"Honda",2008,3,116346,3500,"Petrol","Automatic",1785000,"Not SUV",106.946299748744
"2622",3304,"Lexus",2001,3,278388,3000,"Petrol","Automatic",1050000,"Not SUV",98.7896146341463
"2623",3306,"Toyota",2002,3,294045,2400,"Petrol","Automatic",1352000,"Not SUV",103.641601889339
"2624",3307,"Toyota",2005,3,272020,1800,"Petrol","Manual",1575000,"Not SUV",107.90179476082
"2625",3308,"Mercedes-Benz",2005,3,352743,1800,"Petrol","Automatic",1160000,"Not SUV",107.90179476082
"2626",3310,"Toyota",2008,3,482800,1800,"Petrol","Automatic",1575000,"Not SUV",106.946299748744
"2627",3311,"Toyota",2005,3,381750,2400,"Petrol","Automatic",1365000,"Not SUV",107.90179476082
"2628",3312,"Honda",2007,3,236581,2400,"Petrol","Automatic",1560000,"Not SUV",108.223808169935
"2629",3313,"Toyota",2003,3,299999,1800,"Petrol","Automatic",1785000,"Not SUV",120.808438283379
"2630",3314,"Lexus",2012,3,128484,3500,"Petrol","Automatic",8320000,"SUV",120.331001498127
"2631",3315,"Honda",2005,3,200956,2400,"Petrol","Automatic",1352000,"Not SUV",107.90179476082
"2632",3316,"Ford",2011,2,113188,3500,"Petrol","Automatic",4162500,"SUV",141.992968264463
"2633",3317,"Audi",2019,3,24577,5500,"Petrol","Automatic",49350000,"SUV",187.862267673301
"2634",3318,"Lexus",2012,3,128484,3500,"Petrol","Automatic",8320000,"SUV",120.331001498127
"2635",3319,"Toyota",2005,3,381750,2400,"Petrol","Automatic",1365000,"Not SUV",107.90179476082
"2636",3320,"Nissan",2015,3,88572,2400,"Petrol","Automatic",1470000,"Not SUV",137.412810413589
"2637",3321,"Honda",2003,3,257112,2000,"Petrol","Automatic",1248000,"Not SUV",120.808438283379
"2638",3322,"Honda",2006,3,392030,2400,"Petrol","Automatic",1470000,"Not SUV",105.854727600412
"2639",3323,"Kia",2011,3,24798,3800,"Petrol","Automatic",4200000,"SUV",141.992968264463
"2640",3324,"Toyota",2003,3,157097,4700,"Petrol","Automatic",2860000,"SUV",120.808438283379
"2641",3325,"Toyota",2004,3,280892,3000,"Petrol","Automatic",1050000,"Not SUV",112.832138933951
"2642",3326,"Opel",2001,2,117508,1600,"Petrol","Manual",1942500,"Not SUV",98.7896146341463
"2643",3327,"Honda",2015,3,87381,1800,"Petrol","Manual",3675000,"Not SUV",137.412810413589
